feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
f20,0.000648454367797835,5.4962385437570566e-05,0.0006848472126512739,0.00073844763532116,0.000591885602452491,0.000618227335177135,0.0006088640533871148
f94,0.0006374561079272256,9.593125514261212e-05,0.0007377962478207767,0.0005566704004407175,0.0007048316663446075,0.0006967083867044366,0.0004912738383255899
f49,0.000600305401262613,9.954542726713901e-05,0.0006960883393802852,0.0004101960868612142,0.0006362972749192064,0.0006046365324617886,0.0006543087726905705
f10,0.0005805720640139622,8.363243790264283e-05,0.0005112351197188447,0.00046792497819669876,0.0006305327362883251,0.0005906203920733599,0.0007025470937925826
f30,0.0005779798672477465,8.119787216290907e-05,0.0007159507563236911,0.0005561194955117088,0.00046378588609308213,0.000562712017633471,0.0005913311806767796
f53,0.0005631247692752695,6.264579664738082e-05,0.00048763964410658556,0.0004945839983585554,0.0006240136681672226,0.000572573961926115,0.0006368125738178687
f9,0.0004583161372893052,4.730965178959282e-05,0.0005228115744089212,0.00043797858636351883,0.00048256439157523534,0.0004670668824315882,0.0003811592516672624
f31,0.00043469483254989785,4.129549005478833e-05,0.00042462826972999856,0.00048434627897564475,0.0004687131081247964,0.0004302508647484604,0.000365535641170589
f44,0.00037609890602350313,6.519289074042151e-05,0.0004240151224141897,0.0004490711390628954,0.00034593454708764515,0.00026514594837423466,0.00039632777317855084
f62,0.000370079932831735,3.002460691266719e-05,0.0004206921251128648,0.00036709159611247877,0.0003417629657824772,0.00033864768761482367,0.0003822052895360306
f32,0.00036206954957611613,9.550337027918912e-05,0.00029189646138050307,0.0002247544868707596,0.0004594045589245699,0.00047319885703367426,0.0003610933836710739
f48,0.00035607093594565155,9.15658660476319e-05,0.0002974772965773642,0.0002770268357407124,0.0004610736359410561,0.00047407981442149083,0.0002706970970476341
f36,0.00035281915356040195,4.7987136356099466e-05,0.0003535673573709097,0.0003869700128449338,0.00039985895843608343,0.0003607232962529183,0.0002629761428971644
f2,0.00034117489085867537,3.512367794623935e-05,0.0003500598880179506,0.0003063756499126491,0.0003854790042860934,0.00036903724478243305,0.00029492266729425065
f4,0.0003347395472454995,6.06861413200337e-05,0.00026594341072438965,0.0004445366608731849,0.0003298660692847566,0.0002948884699833787,0.0003384631253617876
f45,0.00033362923981414825,0.00011150341949066966,0.0005372323436523274,0.0003338725567439971,0.00032936129016702953,0.00021413237586742628,0.00025354763263996105
f51,0.00032852817240935916,3.0758457805546015e-05,0.0003231736421496212,0.00028966292237098124,0.0003099541027128394,0.0003808380732155392,0.0003390121215978148
f42,0.00029170349527494197,3.367585490583048e-05,0.00030953243401543595,0.0002985838039510913,0.0002347511818756587,0.0002800605486151797,0.0003355895079173443
f67,0.00028959458531576667,8.43059315958218e-05,0.0003395799863208371,0.00029448104853468937,0.0002796604104235989,0.0001408192743016512,0.0003934322069980567
f16,0.0002886915701895587,4.178451030188269e-05,0.00025740352158099,0.00030476460720818555,0.00022345379739552307,0.00032864433452040043,0.0003291915902426945
f11,0.00028828341765050334,3.315145324660152e-05,0.0003411946724102277,0.0002730793782848018,0.00028049355988635227,0.00024205075171557233,0.0003045987259555627
f15,0.00026058715890733277,4.6850214110043145e-05,0.00034578702634291414,0.00027108773056139235,0.00021340988753248968,0.0002262635285938952,0.0002463876215059724
f64,0.000258386374361641,1.7043093426076214e-05,0.00024656912238718576,0.000287470415210489,0.00026198702950419595,0.00025881811285810574,0.00023708719184822868
f70,0.00022567484767381795,5.801445875780242e-05,0.00019785460982157943,0.0001680848998689699,0.00017710523994896032,0.000319155498323509,0.00026617399040607115
f77,0.0002175898197273707,2.4279802207966402e-05,0.00021327358400613505,0.00017364840067923826,0.0002439927790850449,0.0002340910197327073,0.0002229433151337279
f61,0.00020189748359851213,4.248307674449281e-05,0.00020976833720842691,0.00023280608881259823,0.0001514112327736239,0.0002596612871476056,0.00015584047205030593
f28,0.0002013365083652019,3.963578966689277e-05,0.00017336761190023253,0.00016866330837217447,0.0002440908456938784,0.000255098144576027,0.0001654626312836971
f75,0.00018956373219165546,3.4661597941896686e-05,0.00017209075414603703,0.0002499838767934248,0.0001447490929707973,0.00019503274185506125,0.00018596219519295687
f83,0.00017997847894863918,3.6228227836973605e-05,0.00019255214961810818,0.0002321968429682686,0.0001651158330240321,0.00012177075859876041,0.00018825681053402654
f37,0.000169521728456834,5.472611714414606e-05,0.00011254934350934942,0.00012318517581200172,0.0002043205297047601,0.0002586586459578655,0.00014889494730019326
f84,0.0001678348436979782,3.911722872010453e-05,0.00022293697462005824,0.00012093321648076749,0.00019839597303772383,0.0001675533167078136,0.00012935473764352778
f33,0.00015984990403188347,4.3266805651877e-05,9.070496328966726e-05,0.00014537611530207606,0.00019798370434709334,0.00021325947516981358,0.00015192526205076717
f35,0.00015199523183766493,5.253857671245758e-05,0.0001298683242605403,0.0001686274703814883,0.00021884800048188602,0.0001791243905653328,6.350797349907733e-05
f56,0.00015114972911933755,5.8497280709359206e-05,0.0001537141151114474,7.901693570744328e-05,0.0001041903547821521,0.0002475279118860918,0.00017129932810955317
f19,0.00014416611910954557,2.1039765165359943e-05,0.00017448333442859898,0.0001539308381849347,0.00011816165175992932,0.00015167997034737368,0.0001225748008268912
f88,0.0001422752008753303,4.198763640596288e-05,0.00017518093882817887,9.68509200787171e-05,0.00018542867811366381,0.00016780613008626766,8.610933726982406e-05
f76,0.00012702787370404421,6.585862635812375e-05,0.0001824934220626684,0.00020895354449135262,2.641519957469196e-05,0.00013208332190206562,8.519388048944254e-05
f90,0.00011769348793218004,3.144171240340481e-05,9.485225061633962e-05,0.00011654542402106394,7.333854402991058e-05,0.0001442158637129376,0.00015951535728064847
f23,0.00011255538821084433,3.75437058200792e-05,8.65082241180426e-05,0.0001307814408003649,0.00017838371738398973,8.029464024605915e-05,8.680891850576522e-05
f78,0.00011248906436318595,5.514530419401903e-05,0.00015343796267286436,0.0001692278261814506,7.106856595018307e-05,0.0001435596601966349,2.5151306814796826e-05
f65,0.00010813803098448371,3.9537448662846083e-05,3.157222492378153e-05,0.00012858171047891442,0.00014483715845248213,0.0001182558191882288,0.00011744324187901167
f79,0.00010326198803209952,2.9818622169904695e-05,7.240361330018708e-05,0.0001119639952851248,7.148694644076858e-05,0.00015206613583762518,0.00010838924929679195
f58,9.963814135742766e-05,3.430126884014777e-05,8.340581538424097e-05,6.613470597727211e-05,0.00013953878347561233,6.676356816393003e-05,0.00014234783378608284
f14,9.955876743570347e-05,5.466748336875535e-05,0.0001791356973419589,0.00010747702326940889,4.4907561693396936e-05,0.0001332434852736597,3.3030069600092915e-05
